chapter	number	japanese	english	path
CH01	CH01	ソフトウェア要求	Software Requirements	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)
CH01	1.0	導入	Introduction	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.0.導入(Introduction)
CH01	1.1	ソフトウェア要求の基礎	Software Requirements Fundamentals	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)
CH01	1.1.1	ソフトウェア要求の定義	Definition of a Software Requirement	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.1.ソフトウェア要求の定義(Definition_of_a_Software_Requirement)
CH01	1.1.2	ソフトウェア要求の分類	Categories of Software Requirements	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.2.ソフトウェア要求の分類(Categories_of_Software_Requirements)
CH01	1.1.3	ソフトウェア製品要求とソフトウェアプロジェクト要求	Software Product Requirements and Software Project Requirements	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.3.ソフトウェア製品要求とソフトウェアプロジェクト要求(Software_Product_Requirements_and_Software_Project_Requirements)
CH01	1.1.4	機能要求	Functional Requirements	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.4.機能要求(Functional_Requirements)
CH01	1.1.5	非機能要求	Nonfunctional Requirements	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.5.非機能要求(Nonfunctional_Requirements)
CH01	1.1.6	技術制約	Technology Constraints	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.6.技術制約(Technology_Constraints)
CH01	1.1.7	サービス品質制約	Quality of Service Constraints	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.7.サービス品質制約(Quality_of_Service_Constraints)
CH01	1.1.8	なぜこのように要求を分類するのか	Why Categorize Requirements This Way	tex/swebok_structure/CH01.ソフトウェア要求(Software_Requirements)/1.1.ソフトウェア要求の基礎(Software_Requirements_Fundamentals)/1.1.8.なぜこのように要求を分類するのか(Why_Categorize_Requirements_This_Way)
