label	status	source	destination	prompt
fig:ch01-01	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-01.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-01.md
fig:ch01-02	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-02.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-02.md
fig:ch01-03	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-03.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-03.md
fig:ch01-04	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-04.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-04.md
fig:ch01-05	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-05.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-05.md
fig:ch01-06	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-06.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-06.md
fig:ch01-07	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-07.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-07.md
fig:ch01-08	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-08.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-08.md
fig:ch01-09	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-09.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-09.md
fig:ch01-10	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-10.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-10.md
fig:ch01-11	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-11.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-11.md
fig:ch01-12	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch01/fig-ch01-12.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch01/fig-ch01-12.md
fig:ch02-01	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-01.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-01.md
fig:ch02-02	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-02.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-02.md
fig:ch02-03	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-03.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-03.md
fig:ch02-04	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-04.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-04.md
fig:ch02-05	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-05.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-05.md
fig:ch02-06	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-06.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-06.md
fig:ch02-07	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-07.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-07.md
fig:ch02-08	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-08.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-08.md
fig:ch02-09	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch02/fig-ch02-09.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch02/fig-ch02-09.md
fig:ch03-01	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-01.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-01.md
fig:ch03-02	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-02.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-02.md
fig:ch03-03	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-03.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-03.md
fig:ch03-04	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-04.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-04.md
fig:ch03-05	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-05.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-05.md
fig:ch03-06	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-06.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-06.md
fig:ch03-07	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-07.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-07.md
fig:ch03-08	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-08.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-08.md
fig:ch03-09	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-09.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-09.md
fig:ch03-10	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-10.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-10.md
fig:ch03-11	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-11.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-11.md
fig:ch03-12	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch03/fig-ch03-12.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch03/fig-ch03-12.md
fig:ch04-01	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-01.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-01.md
fig:ch04-02	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-02.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-02.md
fig:ch04-03	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-03.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-03.md
fig:ch04-04	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-04.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-04.md
fig:ch04-05	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-05.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-05.md
fig:ch04-06	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-06.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-06.md
fig:ch04-07	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-07.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-07.md
fig:ch04-08	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-08.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-08.md
fig:ch04-09	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-09.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-09.md
fig:ch04-10	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-10.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-10.md
fig:ch04-11	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-11.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-11.md
fig:ch04-12	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-12.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-12.md
fig:ch04-13	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-13.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-13.md
fig:ch04-14	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-14.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-14.md
fig:ch04-15	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch04/fig-ch04-15.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch04/fig-ch04-15.md
fig:ch05-01	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-01.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-01.md
fig:ch05-02	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-02.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-02.md
fig:ch05-03	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-03.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-03.md
fig:ch05-04	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-04.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-04.md
fig:ch05-05	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-05.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-05.md
fig:ch05-06	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-06.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-06.md
fig:ch05-07	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-07.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-07.md
fig:ch05-08	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-08.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-08.md
fig:ch05-09	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-09.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-09.md
fig:ch05-10	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-10.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-10.md
fig:ch05-11	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-11.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-11.md
fig:ch05-12	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-12.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-12.md
fig:ch05-13	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-13.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-13.md
fig:ch05-14	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-14.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-14.md
fig:ch05-15	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch05/fig-ch05-15.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch05/fig-ch05-15.md
fig:ch06-01	success	codex:gpt-image-2	/home/t-tsuji/project/swebok-v4/tex/assets/generated_figures/ch06/fig-ch06-01.png	/home/t-tsuji/project/swebok-v4/tex/imagegen_prompts/ch06/fig-ch06-01.md
